DATE,OHCONS,OHEDUH,OHFIRE,OHGOVT,OHMFG,OHNA,OHSLIND,OHUR,SMS39000000600000001,SMU39000000600000002SA,SMU39000000600000003SA,SMU39000002000000002SA,SMU39000002000000003SA,SMU39000003000000002SA,SMU39000003000000003SA,SMU39000005500000002SA,SMU39000005500000003SA,SMU39000006500000002SA,SMU39000006500000003SA
1981-03-01,,,,,,,,8.9,,,,,,,,,,,
1981-04-01,,,,,,,,8.8,,,,,,,,,,,
1981-05-01,,,,,,,,8.7,,,,,,,,,,,
1981-06-01,,,,,,,,8.8,,,,,,,,,,,
1981-07-01,,,,,,,,8.9,,,,,,,,,,,
1981-08-01,,,,,,,,9.3,,,,,,,,,,,
1981-09-01,,,,,,,,9.7,,,,,,,,,,,
1981-10-01,,,,,,,,10.1,,,,,,,,,,,
1981-11-01,,,,,,,,10.6,,,,,,,,,,,
1981-12-01,,,,,,,,11.1,,,,,,,,,,,
1982-01-01,,,,,,,-3.57,11.4,,,,,,,,,,,
1982-02-01,,,,,,,-3.87,11.7,,,,,,,,,,,
1982-03-01,,,,,,,-3.41,12.0,,,,,,,,,,,
1982-04-01,,,,,,,-2.47,12.1,,,,,,,,,,,
1982-05-01,,,,,,,-2.91,12.3,,,,,,,,,,,
1982-06-01,,,,,,,-3.56,12.4,,,,,,,,,,,
1982-07-01,,,,,,,-4.51,12.7,,,,,,,,,,,
1982-08-01,,,,,,,-3.07,12.9,,,,,,,,,,,
1982-09-01,,,,,,,-3.56,13.3,,,,,,,,,,,
1982-10-01,,,,,,,-0.69,13.6,,,,,,,,,,,
1982-11-01,,,,,,,1.36,13.9,,,,,,,,,,,
1982-12-01,,,,,,,3.73,14.0,,,,,,,,,,,
1983-01-01,,,,,,,3.37,14.0,,,,,,,,,,,
1983-02-01,,,,,,,4.24,13.9,,,,,,,,,,,
1983-03-01,,,,,,,5.41,13.7,,,,,,,,,,,
1983-04-01,,,,,,,6.20,13.4,,,,,,,,,,,
1983-05-01,,,,,,,5.90,13.0,,,,,,,,,,,
1983-06-01,,,,,,,5.63,12.7,,,,,,,,,,,
1983-07-01,,,,,,,6.91,12.3,,,,,,,,,,,
1983-08-01,,,,,,,6.59,11.9,,,,,,,,,,,
1983-09-01,,,,,,,6.75,11.5,,,,,,,,,,,
1983-10-01,,,,,,,6.44,11.1,,,,,,,,,,,
1983-11-01,,,,,,,5.66,10.7,,,,,,,,,,,
1983-12-01,,,,,,,4.46,10.4,,,,,,,,,,,
1984-01-01,,,,,,,4.12,10.2,,,,,,,,,,,
1984-02-01,,,,,,,3.88,10.0,,,,,,,,,,,
1984-03-01,,,,,,,2.39,9.8,,,,,,,,,,,
1984-04-01,,,,,,,3.25,9.7,,,,,,,,,,,
1984-05-01,,,,,,,3.99,9.6,,,,,,,,,,,
1984-06-01,,,,,,,4.28,9.4,,,,,,,,,,,
1984-07-01,,,,,,,2.88,9.3,,,,,,,,,,,
1984-08-01,,,,,,,2.35,9.2,,,,,,,,,,,
1984-09-01,,,,,,,1.77,9.2,,,,,,,,,,,
1984-10-01,,,,,,,2.59,9.1,,,,,,,,,,,
1984-11-01,,,,,,,1.68,9.1,,,,,,,,,,,
1984-12-01,,,,,,,2.06,9.0,,,,,,,,,,,
1985-01-01,,,,,,,1.57,8.9,,,,,,,,,,,
1985-02-01,,,,,,,2.39,8.9,,,,,,,,,,,
1985-03-01,,,,,,,3.33,8.8,,,,,,,,,,,
1985-04-01,,,,,,,1.50,8.8,,,,,,,,,,,
1985-05-01,,,,,,,1.01,8.9,,,,,,,,,,,
1985-06-01,,,,,,,2.11,8.9,,,,,,,,,,,
1985-07-01,,,,,,,1.67,9.0,,,,,,,,,,,
1985-08-01,,,,,,,2.74,9.1,,,,,,,,,,,
1985-09-01,,,,,,,3.81,9.0,,,,,,,,,,,
1985-10-01,,,,,,,3.20,8.9,,,,,,,,,,,
1985-11-01,,,,,,,3.17,8.8,,,,,,,,,,,
1985-12-01,,,,,,,3.19,8.6,,,,,,,,,,,
1986-01-01,,,,,,,1.92,8.5,,,,,,,,,,,
1986-02-01,,,,,,,1.61,8.4,,,,,,,,,,,
1986-03-01,,,,,,,1.29,8.4,,,,,,,,,,,
1986-04-01,,,,,,,1.62,8.4,,,,,,,,,,,
1986-05-01,,,,,,,1.93,8.4,,,,,,,,,,,
1986-06-01,,,,,,,2.42,8.4,,,,,,,,,,,
1986-07-01,,,,,,,3.16,8.3,,,,,,,,,,,
1986-08-01,,,,,,,2.17,8.3,,,,,,,,,,,
1986-09-01,,,,,,,2.97,8.2,,,,,,,,,,,
1986-10-01,,,,,,,2.81,8.2,,,,,,,,,,,
1986-11-01,,,,,,,3.29,8.1,,,,,,,,,,,
1986-12-01,,,,,,,2.74,8.1,,,,,,,,,,,
1987-01-01,,,,,,,3.13,8.0,,,,,,,,,,,
1987-02-01,,,,,,,1.84,7.9,,,,,,,,,,,
1987-03-01,,,,,,,2.37,7.7,,,,,,,,,,,
1987-04-01,,,,,,,1.96,7.6,,,,,,,,,,,
1987-05-01,,,,,,,2.89,7.4,,,,,,,,,,,
1987-06-01,,,,,,,3.29,7.2,,,,,,,,,,,
1987-07-01,,,,,,,3.68,7.0,,,,,,,,,,,
1987-08-01,,,,,,,4.04,6.8,,,,,,,,,,,
1987-09-01,,,,,,,4.13,6.6,,,,,,,,,,,
1987-10-01,,,,,,,2.31,6.4,,,,,,,,,,,
1987-11-01,,,,,,,0.83,6.4,,,,,,,,,,,
1987-12-01,,,,,,,1.53,6.4,,,,,,,,,,,
1988-01-01,,,,,,,2.05,6.4,,,,,,,,,,,
1988-02-01,,,,,,,3.09,6.4,,,,,,,,,,,
1988-03-01,,,,,,,3.95,6.3,,,,,,,,,,,
1988-04-01,,,,,,,3.15,6.2,,,,,,,,,,,
1988-05-01,,,,,,,2.95,6.1,,,,,,,,,,,
1988-06-01,,,,,,,2.53,6.0,,,,,,,,,,,
1988-07-01,,,,,,,1.55,5.9,,,,,,,,,,,
1988-08-01,,,,,,,1.30,5.9,,,,,,,,,,,
1988-09-01,,,,,,,2.54,5.9,,,,,,,,,,,
1988-10-01,,,,,,,2.92,5.8,,,,,,,,,,,
1988-11-01,,,,,,,2.53,5.7,,,,,,,,,,,
1988-12-01,,,,,,,2.68,5.5,,,,,,,,,,,
1989-01-01,,,,,,,1.49,5.4,,,,,,,,,,,
1989-02-01,,,,,,,0.85,5.2,,,,,,,,,,,
1989-03-01,,,,,,,-0.72,5.2,,,,,,,,,,,
1989-04-01,,,,,,,-0.27,5.2,,,,,,,,,,,
1989-05-01,,,,,,,-0.03,5.3,,,,,,,,,,,
1989-06-01,,,,,,,0.06,5.4,,,,,,,,,,,
1989-07-01,,,,,,,-0.53,5.5,,,,,,,,,,,
1989-08-01,,,,,,,-1.21,5.7,,,,,,,,,,,
1989-09-01,,,,,,,-0.30,5.9,,,,,,,,,,,
1989-10-01,,,,,,,1.08,6.0,,,,,,,,,,,
1989-11-01,,,,,,,2.15,6.0,,,,,,,,,,,
1989-12-01,,,,,,,1.95,5.9,,,,,,,,,,,
1990-01-01,195.8,534.4,253.1,714.9,1044.5,4842.3,2.59,5.8,1258.4,,,,,,,,,,
1990-02-01,196.8,533.4,254.1,715.9,1061.4,4865.9,2.93,5.6,1276.4,,,,,,,,,,
1990-03-01,197.4,534.7,254.3,719.6,1064.6,4877.4,1.40,5.5,1279.9,,,,,,,,,,
1990-04-01,195.2,536.2,255.0,721.9,1068.6,4889.9,0.92,5.5,1281.7,,,,,,,,,,
1990-05-01,193.7,536.3,254.7,730.2,1067.8,4895.0,1.01,5.5,1279.3,,,,,,,,,,
1990-06-01,192.2,540.0,255.1,725.8,1067.4,4897.8,-0.08,5.5,1277.4,,,,,,,,,,
1990-07-01,191.9,540.7,255.5,727.0,1067.5,4900.3,-1.28,5.6,1277.2,,,,,,,,,,
1990-08-01,191.5,542.8,255.8,722.8,1064.8,4900.1,0.00,5.6,1273.9,,,,,,,,,,
1990-09-01,190.6,544.7,255.9,721.9,1064.9,4904.0,-1.88,5.6,1273.2,,,,,,,,,,
1990-10-01,187.9,546.3,255.0,722.2,1059.2,4885.1,-3.08,5.7,1264.7,,,,,,,,,,
1990-11-01,188.8,547.8,254.4,721.8,1042.9,4868.8,-3.45,5.9,1249.4,,,,,,,,,,
1990-12-01,186.8,548.9,253.9,722.3,1038.8,4863.9,-3.13,6.2,1243.1,,,,,,,,,,
1991-01-01,184.4,551.1,253.9,723.9,1034.3,4849.0,-2.64,6.4,1236.2,,,,,,,,,,
1991-02-01,181.7,550.5,253.3,724.8,1019.8,4820.4,-1.65,6.6,1218.7,,,,,,,,,,
1991-03-01,178.5,552.1,252.8,724.8,1019.7,4817.8,-0.38,6.7,1215.3,,,,,,,,,,
1991-04-01,176.9,554.6,252.8,724.4,1018.8,4812.2,1.26,6.7,1212.6,,,,,,,,,,
1991-05-01,173.3,556.1,252.8,725.5,1018.6,4803.9,2.53,6.6,1208.4,,,,,,,,,,
1991-06-01,172.4,559.5,253.0,724.1,1020.2,4810.4,2.68,6.5,1209.0,,,,,,,,,,
1991-07-01,176.2,560.8,253.3,731.2,1017.6,4822.7,2.59,6.4,1210.2,,,,,,,,,,
1991-08-01,176.3,562.4,253.4,725.8,1017.9,4817.1,1.98,6.3,1210.4,,,,,,,,,,
1991-09-01,176.0,564.5,254.2,729.7,1016.8,4826.5,1.33,6.3,1208.9,,,,,,,,,,
1991-10-01,174.6,565.6,253.5,731.6,1014.0,4819.5,0.89,6.3,1204.2,,,,,,,,,,
1991-11-01,173.8,567.3,253.2,734.9,1013.1,4822.5,-0.39,6.5,1202.3,,,,,,,,,,
1991-12-01,173.1,568.8,253.5,734.1,1009.5,4817.2,0.29,6.7,1197.9,,,,,,,,,,
1992-01-01,174.5,569.8,253.9,735.1,1004.8,4821.9,1.24,6.9,1194.7,,,,,,,,,,
1992-02-01,175.0,571.8,254.1,734.8,1002.6,4826.1,1.30,7.1,1192.9,,,,,,,,,,
1992-03-01,173.8,574.0,253.8,734.4,996.2,4827.8,1.94,7.3,1185.3,,,,,,,,,,
1992-04-01,173.6,582.2,257.4,737.0,999.6,4853.8,1.68,7.4,1188.6,,,,,,,,,,
1992-05-01,174.6,582.7,259.2,737.2,997.9,4860.3,0.19,7.5,1188.0,,,,,,,,,,
1992-06-01,174.9,582.7,258.8,735.2,993.7,4853.0,0.91,7.6,1184.0,,,,,,,,,,
1992-07-01,172.2,583.2,257.9,736.7,991.0,4851.8,2.63,7.6,1178.3,,,,,,,,,,
1992-08-01,174.0,584.1,257.0,735.5,986.5,4848.2,1.90,7.5,1175.7,,,,,,,,,,
1992-09-01,173.6,584.2,257.1,732.0,984.9,4842.9,2.12,7.5,1173.6,,,,,,,,,,
1992-10-01,174.8,585.5,258.6,736.9,986.3,4859.8,2.89,7.4,1176.2,,,,,,,,,,
1992-11-01,174.9,586.6,258.0,733.1,986.0,4856.0,2.96,7.3,1175.9,,,,,,,,,,
1992-12-01,177.4,588.0,258.4,733.9,983.9,4861.3,2.65,7.2,1176.3,,,,,,,,,,
1993-01-01,181.0,595.9,258.0,735.8,983.9,4884.4,2.46,7.1,1179.6,,,,,,,,,,
1993-02-01,182.0,596.7,257.9,736.0,982.3,4888.1,2.62,7.0,1178.9,,,,,,,,,,
1993-03-01,175.2,597.0,257.3,736.3,979.6,4873.0,2.73,6.8,1169.0,,,,,,,,,,
1993-04-01,180.1,596.7,258.6,734.8,976.8,4879.7,2.56,6.7,1171.2,,,,,,,,,,
1993-05-01,181.9,598.7,259.7,736.1,977.9,4893.4,2.79,6.6,1174.3,,,,,,,,,,
1993-06-01,182.7,601.8,260.2,735.1,978.9,4906.0,2.59,6.5,1176.1,,,,,,,,,,
1993-07-01,186.0,602.7,261.2,734.5,980.4,4915.8,2.22,6.5,1181.2,,,,,,,,,,
1993-08-01,186.7,605.2,262.1,735.6,981.8,4930.8,2.64,6.5,1183.1,,,,,,,,,,
1993-09-01,187.1,605.4,263.3,731.7,986.0,4944.7,3.59,6.5,1187.9,,,,,,,,,,
1993-10-01,193.6,604.2,264.2,740.3,975.8,4958.1,3.25,6.4,1184.3,,,,,,,,,,
1993-11-01,194.9,606.4,265.7,735.4,979.5,4967.6,2.45,6.4,1189.3,,,,,,,,,,
1993-12-01,196.6,606.4,267.0,734.6,983.1,4976.6,4.15,6.4,1194.6,,,,,,,,,,
1994-01-01,193.7,608.9,266.1,736.0,989.7,5008.2,5.00,6.3,1198.0,,,,,,,,,,
1994-02-01,194.6,609.2,267.2,736.5,991.2,5023.1,3.36,6.2,1200.4,,,,,,,,,,
1994-03-01,197.5,609.6,267.9,736.3,993.7,5041.5,2.56,6.1,1205.8,,,,,,,,,,
1994-04-01,197.6,611.3,268.1,740.6,992.9,5040.3,2.26,6.0,1205.2,,,,,,,,,,
1994-05-01,202.3,613.4,268.1,738.9,997.1,5057.1,3.02,5.9,1214.1,,,,,,,,,,
1994-06-01,201.5,614.3,268.2,740.2,998.3,5059.7,3.04,5.8,1214.5,,,,,,,,,,
1994-07-01,201.8,616.1,270.1,740.3,1003.2,5072.5,3.66,5.6,1219.6,,,,,,,,,,
1994-08-01,201.6,616.3,271.8,739.3,1005.4,5080.2,4.33,5.4,1221.6,,,,,,,,,,
1994-09-01,201.6,616.3,272.1,744.5,1010.6,5103.9,3.61,5.2,1227.0,,,,,,,,,,
1994-10-01,203.4,618.0,271.9,746.0,1015.8,5124.6,4.03,4.9,1233.8,,,,,,,,,,
1994-11-01,205.0,619.1,272.2,745.8,1020.6,5141.5,3.21,4.7,1240.1,,,,,,,,,,
1994-12-01,204.8,620.6,272.3,745.8,1025.1,5157.8,2.80,4.4,1244.3,,,,,,,,,,
1995-01-01,206.3,621.9,272.9,746.6,1030.5,5170.0,0.73,4.3,1251.2,,,,,,,,,,
1995-02-01,204.3,623.0,273.2,746.3,1033.5,5180.1,0.64,4.3,1252.2,,,,,,,,,,
1995-03-01,208.1,624.8,273.4,748.5,1037.1,5200.9,0.32,4.4,1259.5,,,,,,,,,,
1995-04-01,207.9,625.3,272.8,748.5,1040.1,5212.0,0.07,4.6,1262.1,,,,,,,,,,
1995-05-01,206.6,626.0,272.5,746.6,1039.5,5209.1,0.34,4.7,1259.9,,,,,,,,,,
1995-06-01,207.0,626.8,272.3,746.9,1039.5,5220.5,0.76,4.9,1260.3,,,,,,,,,,
1995-07-01,205.4,626.8,272.1,747.2,1035.3,5216.4,0.58,4.9,1254.5,,,,,,,,,,
1995-08-01,206.6,627.4,272.5,746.1,1039.6,5233.4,0.58,5.0,1260.0,,,,,,,,,,
1995-09-01,207.6,628.3,274.0,751.5,1039.9,5252.5,0.93,5.0,1261.2,,,,,,,,,,
1995-10-01,208.2,630.3,272.8,751.6,1037.2,5247.1,0.45,5.1,1259.2,,,,,,,,,,
1995-11-01,208.4,631.5,273.7,750.9,1037.7,5254.6,1.28,5.1,1260.0,,,,,,,,,,
1995-12-01,210.1,632.8,274.5,752.3,1035.6,5260.4,0.06,5.1,1259.8,,,,,,,,,,
1996-01-01,206.6,631.8,275.6,749.6,1033.3,5258.1,0.60,5.1,1253.8,,,,,,,,,,
1996-02-01,210.3,633.7,276.8,752.3,1035.4,5277.1,2.16,5.1,1259.6,,,,,,,,,,
1996-03-01,211.3,634.3,277.3,753.1,1022.6,5267.5,2.07,5.0,1247.8,,,,,,,,,,
1996-04-01,213.0,634.6,278.2,752.4,1030.3,5280.0,1.49,5.0,1257.2,,,,,,,,,,
1996-05-01,214.3,634.9,278.6,753.5,1029.5,5289.8,2.11,5.0,1257.7,,,,,,,,,,
1996-06-01,216.5,635.2,279.6,753.6,1030.7,5302.8,2.37,5.0,1261.2,,,,,,,,,,
1996-07-01,217.4,634.9,280.2,751.1,1031.6,5302.1,1.93,4.9,1263.0,,,,,,,,,,
1996-08-01,218.7,635.8,280.1,753.4,1030.9,5310.9,0.92,4.9,1263.6,,,,,,,,,,
1996-09-01,219.1,636.7,280.8,746.2,1029.5,5307.1,0.84,4.9,1262.4,,,,,,,,,,
1996-10-01,219.8,638.0,281.8,751.9,1028.6,5318.3,1.34,4.9,1262.1,,,,,,,,,,
1996-11-01,219.4,638.4,281.5,754.1,1025.6,5324.8,0.68,5.0,1258.7,,,,,,,,,,
1996-12-01,219.6,639.1,281.9,754.6,1026.8,5328.3,1.53,5.1,1260.0,,,,,,,,,,
1997-01-01,220.0,637.7,282.7,756.0,1025.4,5341.6,2.68,5.1,1259.1,,,,,,,,,,
1997-02-01,221.4,637.7,283.8,757.5,1025.0,5347.6,2.41,5.0,1260.2,,,,,,,,,,
1997-03-01,222.8,638.4,284.7,757.5,1026.8,5362.3,2.16,4.9,1263.5,,,,,,,,,,
1997-04-01,225.6,638.7,286.2,755.7,1028.2,5372.8,2.04,4.7,1267.3,,,,,,,,,,
1997-05-01,226.5,640.1,286.8,756.5,1028.0,5384.5,1.73,4.6,1268.2,,,,,,,,,,
1997-06-01,225.5,640.9,286.8,759.7,1028.1,5392.7,2.21,4.5,1267.3,,,,,,,,,,
1997-07-01,226.2,643.9,288.9,761.3,1019.2,5400.4,2.26,4.4,1259.0,,,,,,,,,,
1997-08-01,226.4,645.2,289.2,761.3,1027.9,5406.8,1.32,4.4,1267.9,,,,,,,,,,
1997-09-01,226.5,645.8,289.4,756.2,1028.0,5415.5,1.09,4.4,1268.3,,,,,,,,,,
1997-10-01,224.3,645.9,290.7,755.9,1026.5,5417.2,1.45,4.5,1264.5,,,,,,,,,,
1997-11-01,224.2,647.4,291.7,757.5,1030.7,5428.6,2.56,4.5,1268.6,,,,,,,,,,
1997-12-01,224.7,648.8,292.5,758.2,1031.7,5436.2,2.48,4.4,1270.3,,,,,,,,,,
1998-01-01,225.2,651.9,292.5,761.4,1028.4,5445.3,1.21,4.4,1267.5,,,,,,,,,,
1998-02-01,227.6,653.0,292.3,759.2,1030.8,5452.8,1.89,4.3,1272.3,,,,,,,,,,
1998-03-01,224.9,654.3,293.4,760.0,1030.6,5456.2,1.54,4.2,1269.4,,,,,,,,,,
1998-04-01,228.1,657.3,293.7,761.0,1035.4,5467.2,1.05,4.2,1277.2,,,,,,,,,,
1998-05-01,228.9,659.0,294.9,763.7,1034.3,5482.5,0.48,4.2,1276.9,,,,,,,,,,
1998-06-01,229.8,660.2,295.6,764.1,1031.6,5485.8,0.28,4.3,1275.1,,,,,,,,,,
1998-07-01,231.1,655.5,296.9,764.6,997.1,5448.9,1.50,4.4,1241.8,,,,,,,,,,
1998-08-01,231.6,657.7,298.0,764.4,1032.8,5494.8,1.99,4.4,1278.1,,,,,,,,,,
1998-09-01,231.7,657.5,298.4,765.3,1033.8,5499.8,1.32,4.4,1279.2,,,,,,,,,,
1998-10-01,234.1,658.8,299.2,764.8,1033.2,5506.8,1.22,4.4,1281.1,,,,,,,,,,
1998-11-01,235.4,659.4,299.6,765.9,1032.9,5514.6,0.92,4.3,1282.1,,,,,,,,,,
1998-12-01,237.0,660.3,300.5,767.4,1030.2,5517.1,0.67,4.3,1281.1,,,,,,,,,,
1999-01-01,229.4,660.5,299.9,759.1,1030.8,5490.7,0.75,4.2,1273.8,,,,,,,,,,
1999-02-01,238.6,662.6,300.5,767.6,1028.4,5526.6,0.63,4.2,1280.9,,,,,,,,,,
1999-03-01,237.7,662.1,300.5,769.5,1028.0,5527.7,0.91,4.2,1279.3,,,,,,,,,,
1999-04-01,236.5,668.6,303.1,770.8,1027.6,5547.5,0.76,4.3,1277.8,,,,,,,,,,
1999-05-01,234.7,669.2,303.7,771.2,1026.1,5547.1,1.51,4.3,1274.5,,,,,,,,,,
1999-06-01,235.6,670.0,303.8,772.4,1025.9,5552.7,1.20,4.4,1275.2,,,,,,,,,,
1999-07-01,242.0,670.7,304.3,774.2,1023.4,5573.4,1.92,4.4,1279.0,,,,,,,,,,
1999-08-01,242.1,673.0,304.6,771.6,1029.1,5581.3,2.20,4.4,1284.7,,,,,,,,,,
1999-09-01,244.7,671.5,304.6,776.4,1027.4,5584.9,2.29,4.3,1285.5,,,,,,,,,,
1999-10-01,246.1,671.9,306.0,776.1,1027.6,5597.5,1.67,4.3,1287.0,,,,,,,,,,
1999-11-01,247.5,672.3,305.4,778.0,1028.3,5607.7,2.36,4.2,1289.0,,,,,,,,,,
1999-12-01,248.1,672.3,305.5,778.4,1030.8,5619.7,1.32,4.2,1292.0,,,,,,,,,,
2000-01-01,248.2,672.8,307.2,779.1,1031.6,5619.4,1.43,4.1,1292.9,,,,,,,,,,
2000-02-01,247.0,673.5,306.3,778.1,1032.4,5618.9,0.73,4.1,1292.4,,,,,,,,,,
2000-03-01,253.6,675.6,305.9,779.4,1030.8,5632.8,0.75,4.0,1297.5,,,,,,,,,,
2000-04-01,251.5,674.7,305.9,784.4,1028.5,5630.5,-1.06,4.0,1293.0,,,,,,,,,,
2000-05-01,250.7,677.4,305.4,795.3,1025.9,5636.2,-0.56,4.1,1289.6,,,,,,,,,,
2000-06-01,250.4,683.2,304.9,784.4,1024.2,5629.6,0.28,4.1,1287.5,,,,,,,,,,
2000-07-01,246.9,686.2,303.6,788.0,1020.3,5629.4,0.00,4.1,1280.0,,,,,,,,,,
2000-08-01,245.2,688.3,303.6,786.5,1017.3,5627.0,-0.22,4.0,1275.3,,,,,,,,,,
2000-09-01,243.4,684.3,304.6,785.3,1014.4,5620.6,-0.06,4.0,1270.6,,,,,,,,,,
2000-10-01,240.6,681.0,304.4,787.2,1013.8,5622.6,0.98,3.9,1267.2,,,,,,,,,,
2000-11-01,240.0,682.6,305.2,786.5,1010.8,5619.1,0.14,3.8,1263.7,,,,,,,,,,
2000-12-01,237.5,685.0,306.1,786.5,1005.0,5613.4,-0.97,3.8,1255.3,,,,,,,,,,
2001-01-01,239.9,686.0,305.4,790.5,998.2,5604.9,-0.63,3.8,1250.9,,,,,,,,,,
2001-02-01,241.4,687.9,305.8,791.0,991.0,5598.5,-0.19,3.8,1245.4,,,,,,,,,,
2001-03-01,242.2,689.3,306.3,792.0,984.8,5592.0,-0.68,3.8,1240.0,,,,,,,,,,
2001-04-01,241.2,692.4,306.8,793.1,974.4,5578.8,-1.38,3.8,1228.5,,,,,,,,,,
2001-05-01,240.4,693.6,307.2,791.5,963.4,5564.7,-1.94,3.9,1216.7,,,,,,,,,,
2001-06-01,239.6,695.2,308.3,790.9,955.8,5552.7,-0.97,4.1,1208.4,,,,,,,,,,
2001-07-01,241.6,692.0,308.1,791.0,949.7,5533.8,-0.76,4.2,1204.4,,,,,,,,,,
2001-08-01,241.4,694.5,308.3,793.6,939.5,5522.9,-1.99,4.4,1193.9,,,,,,,,,,
2001-09-01,239.6,695.7,308.1,796.9,930.3,5507.1,-2.00,4.7,1183.0,,,,,,,,,,
2001-10-01,240.0,700.0,307.6,798.7,923.7,5498.6,-0.94,4.9,1176.5,,,,,,,,,,
2001-11-01,240.0,701.6,308.2,798.9,915.5,5485.7,-1.25,5.2,1168.3,,,,,,,,,,
2001-12-01,239.6,702.2,307.9,799.9,908.7,5473.5,-0.52,5.4,1161.0,,,,,,,,,,
2002-01-01,239.6,704.0,308.2,799.5,899.8,5466.7,0.05,5.6,1152.0,,,,,,,,,,
2002-02-01,238.8,706.4,308.8,800.9,895.8,5463.0,0.65,5.7,1147.1,,,,,,,,,,
2002-03-01,237.5,707.1,308.8,801.5,892.5,5458.0,0.00,5.8,1142.4,,,,,,,,,,
2002-04-01,234.4,707.3,307.8,800.6,889.7,5446.3,0.84,5.9,1136.6,,,,,,,,,,
2002-05-01,235.1,710.0,307.6,799.4,888.5,5446.7,2.10,5.9,1135.5,,,,,,,,,,
2002-06-01,235.5,711.2,307.3,797.7,887.3,5446.0,2.11,5.8,1134.8,,,,,,,,,,
2002-07-01,237.0,710.0,308.4,800.6,884.2,5446.6,0.65,5.7,1133.2,,,,,,,,,,
