DATE,OHCONS,OHEDUH,OHFIRE,OHGOVT,OHMFG,OHNA,OHSLIND,OHUR,SMS39000000600000001,SMU39000000600000002SA,SMU39000000600000003SA,SMU39000002000000002SA,SMU39000002000000003SA,SMU39000003000000002SA,SMU39000003000000003SA,SMU39000005500000002SA,SMU39000005500000003SA,SMU39000006500000002SA,SMU39000006500000003SA
1976-01-01,,,,,,,,8.3,,,,,,,,,,,
1976-02-01,,,,,,,,8.2,,,,,,,,,,,
1976-03-01,,,,,,,,8.1,,,,,,,,,,,
1976-04-01,,,,,,,,8.0,,,,,,,,,,,
1976-05-01,,,,,,,,7.9,,,,,,,,,,,
1976-06-01,,,,,,,,7.7,,,,,,,,,,,
1976-07-01,,,,,,,,7.6,,,,,,,,,,,
1976-08-01,,,,,,,,7.5,,,,,,,,,,,
1976-09-01,,,,,,,,7.5,,,,,,,,,,,
1976-10-01,,,,,,,,7.5,,,,,,,,,,,
1976-11-01,,,,,,,,7.6,,,,,,,,,,,
1976-12-01,,,,,,,,7.6,,,,,,,,,,,
1977-01-01,,,,,,,,7.6,,,,,,,,,,,
1977-02-01,,,,,,,,7.5,,,,,,,,,,,
1977-03-01,,,,,,,,7.2,,,,,,,,,,,
1977-04-01,,,,,,,,6.9,,,,,,,,,,,
1977-05-01,,,,,,,,6.6,,,,,,,,,,,
1977-06-01,,,,,,,,6.4,,,,,,,,,,,
1977-07-01,,,,,,,,6.2,,,,,,,,,,,
1977-08-01,,,,,,,,6.1,,,,,,,,,,,
1977-09-01,,,,,,,,6.1,,,,,,,,,,,
1977-10-01,,,,,,,,6.0,,,,,,,,,,,
1977-11-01,,,,,,,,5.9,,,,,,,,,,,
1977-12-01,,,,,,,,5.8,,,,,,,,,,,
1978-01-01,,,,,,,,5.7,,,,,,,,,,,
1978-02-01,,,,,,,,5.6,,,,,,,,,,,
1978-03-01,,,,,,,,5.5,,,,,,,,,,,
1978-04-01,,,,,,,,5.5,,,,,,,,,,,
1978-05-01,,,,,,,,5.4,,,,,,,,,,,
1978-06-01,,,,,,,,5.4,,,,,,,,,,,
1978-07-01,,,,,,,,5.3,,,,,,,,,,,
1978-08-01,,,,,,,,5.3,,,,,,,,,,,
1978-09-01,,,,,,,,5.4,,,,,,,,,,,
1978-10-01,,,,,,,,5.4,,,,,,,,,,,
1978-11-01,,,,,,,,5.5,,,,,,,,,,,
1978-12-01,,,,,,,,5.6,,,,,,,,,,,
1979-01-01,,,,,,,,5.6,,,,,,,,,,,
1979-02-01,,,,,,,,5.7,,,,,,,,,,,
1979-03-01,,,,,,,,5.7,,,,,,,,,,,
1979-04-01,,,,,,,,5.7,,,,,,,,,,,
1979-05-01,,,,,,,,5.7,,,,,,,,,,,
1979-06-01,,,,,,,,5.8,,,,,,,,,,,
1979-07-01,,,,,,,,5.9,,,,,,,,,,,
1979-08-01,,,,,,,,5.9,,,,,,,,,,,
1979-09-01,,,,,,,,6.0,,,,,,,,,,,
1979-10-01,,,,,,,,6.0,,,,,,,,,,,
1979-11-01,,,,,,,,6.0,,,,,,,,,,,
1979-12-01,,,,,,,,6.0,,,,,,,,,,,
1980-01-01,,,,,,,,6.1,,,,,,,,,,,
1980-02-01,,,,,,,,6.5,,,,,,,,,,,
1980-03-01,,,,,,,,7.1,,,,,,,,,,,
1980-04-01,,,,,,,,7.8,,,,,,,,,,,
1980-05-01,,,,,,,,8.5,,,,,,,,,,,
1980-06-01,,,,,,,,9.1,,,,,,,,,,,
1980-07-01,,,,,,,,9.4,,,,,,,,,,,
1980-08-01,,,,,,,,9.5,,,,,,,,,,,
1980-09-01,,,,,,,,9.4,,,,,,,,,,,
1980-10-01,,,,,,,,9.2,,,,,,,,,,,
1980-11-01,,,,,,,,9.1,,,,,,,,,,,
1980-12-01,,,,,,,,9.0,,,,,,,,,,,
1981-01-01,,,,,,,,8.9,,,,,,,,,,,
1981-02-01,,,,,,,,8.9,,,,,,,,,,,
